"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Produto(s)"
"%s and above","%s e acima"
"%s-%s of %s","%s-%s of %s"
"%s is available for purchase in increments of %s","%s está disponível somente na quantidade mínima de %s itens"
"(%d)","(%d)"
"(Copy data from: %s)","(Dados copiados em: %s)"
"* Required Fields","*Campos Obrigatórios"
"-- Please Select --","Selecione..."
"- OR -","- OU -"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não for informado. Para atualizar imediatamente, Limpe os caches de saída para blocos HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Atenção!</strong> Utilizando MAP por padrão todos os preços de produtos serão ocultados no frontend."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Nome é obrigatório"
"A product type is not defined for the indexer.","O tipo de produto não está definido no indexador."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ações"
"Actual Price","Preço Atual"
"Add","Adicionar"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Mudar Visual"
"Add Group","Criar Grupo"
"Add Group Price","Adicionar Preço de Grupo"
"Add New","Criar Pasta"
"Add New Attribute","Criar Atributo"
"Add New Attribute Set","Novo Grupo de Atributos"
"Add New Group","Novo Grupo"
"Add New Images","Adicionar Imagens"
"Add New Option","Nova Opção"
"Add New Row","Adicionar Linha"
"Add New Search Term","Criar Termo de Pesquisa"
"Add New Set","Criar Grupo"
"Add Product","Criar Produto"
"Add Product To Websites","Adicionar Produto para Websites"
"Add Root Category","Criar Categoria"
"Add Subcategory","Criar SubCategoria"
"Add Tax","Criar Imposto"
"Add Tier","Criar Faixa"
"Add attribute into attribute set","Adicionar atributo no grupo de atributos"
"Add group into attribute set","Adicionar grupo ao conjunto de atributos"
"Add new custom option into product","Adicionar nova opção ao produto"
"Add new values into custom option","Adicionar novos valores à opção"
"Add option","Adicionar opção"
"Add to Cart","Comprar"
"Add to Compare","Comparar Produto"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Information","Informação Adicional"
"Alert Urls","Urls de Alerta"
"All","Todos"
"All Product Types","Todos os Tipos de Produtos"
"All Websites","Todos Websites"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - adicionados recentemente, Novos produtos - produtos marcados com data de novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste grupo serão excluídos! Deseja realmente excluir este grupo de atributos?"
"Allow All Products per Page","Permitir Exibir Todos os Produtos na Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URL Dinâmica de Mídia nos Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir tags HTML no Frontend"
"Allowed File Extensions","Extensões de Arquivos Permitidos"
"Allowed file extensions to upload","Extensões de arquivos permitidos para upload"
"Amount","Total"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos no websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparações."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir esta avaliação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos do websites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar Reescrita de URL."
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar grupo de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção, cancelando. Mensagem de Erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar termos de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar esta avaliação."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos dos produtos."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar os status dos produtos."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi informado, ignorando registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválida foi informada para %s (%s), ignorando registro."
"An invalid store was specified.","Uma loja inválida foi informada."
"Anchor Custom Text","Vincular Texto Personalizado"
"Anchor Custom Title","Vincular Título Personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Permitido apenas para produtos do catálogo e categorias. Qualquer conteúdo de mídia será inserido no editor como uma URL estática. E não será atualizado se a URL base do sistema mudar."
"Apply MAP (Default Value)","Aplicar MAP (Valor Padrão)"
"Apply To","Aplicar Para"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Deseja realmente excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Deseja realmente excluir todos os produtos da lista de comparação?"
"Are you sure you would like to remove this item from the compare products?","Deseja realmente excluir o produto da lista de comparação?"
"Are you sure?","Você tem certeza?"
"As low as:","Menor Preço:"
"Assign","Atribuir"
"Assign product link","Atribuir link ao produto"
"Assign product to category","Atribuir categoria ao produto"
"Assigned Products","Produtos Atribuídos"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome do Grupo de Atrib."
"Attribute ""%s"" is invalid.","Atributo ""%s"" inválido."
"Attribute ""%s"" is required.","Atributo ""%s"" obrigatório."
"Attribute Information","Informações do Atributo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Grupo de Atributos"
"Attribute Sets","Grupos de Atributos"
"Attribute add","Adicionar atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Atributo inválido. Use apenas letras (a-z), números (0-9) ou underscore(_) neste campo, primeiro caracter deve ser uma letra."
"Attribute group with the \"/name/\" name already exists","Grupo de atributos com o nome \"/name/\" já existe"
"Attribute group with the \/name/\ already exists","Grupo de atributos com o nome \/name/\ já existe"
"Attribute remove","Remover atributo"
"Attribute with the same code already exists","Já existe um atributo com este código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes de atributos podem ser específicos por loja."
"Autogenerate","Automático"
"Availability:","Disponível:"
"Back","Voltar"
"Backend Model","Modelo Backend"
"Backend Table","Tabela Backend"
"Backend Table Title","Título da Tabela Backend"
"Backorders","Pedido Aguardando Estoque"
"Based On","Com Base Em"
"Before Order Confirmation","Antes de Confirmar Pedido"
"Best Value","Relevância"
"Block after Info Column","Bloco depois da Coluna de Informação"
"Bottom Block Options Wrapper","Bloco de Grupo de Opções Abaixo"
"Bottom/Left","Abaixo/Esquerda"
"Bottom/Right","Abaixo/Direita"
"Browse By","Navegar Por"
"Bundle Items","Pacote de Produtos"
"Buy %1$s","Compre %1$s"
"Buy %1$s for","Compre %1$s leve"
"Buy %1$s for %2$s","Compre %1$s leve %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Ciclo de vida do Cache (Segundos)"
"Cache refresh needed.","Cache precisa ser atualizado."
"Can be Divided into Multiple Boxes for Shipping","Pode ser Dividido em Diversas Caixas p/ Entrega"
"Can be used only with catalog input type Dropdown","Apenas p/ campos do tipo Combobox"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Apenas p/ campos do tipo Combobox, Seleção Múltipla e Preços"
"Can\'t create image.","Não foi possível criar imagem."
"Cancel","Cancelar"
"Cannot create image.","Não foi possível criar imagem."
"Cannot create writeable directory '%s'.","Não foi possível criar diretório com permissões de gravação '%s'."
"Cart Item Attribute","Atributo do Produto no Carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Catálogo Categoria (Vínculo)"
"Catalog Category (Non-Anchor)","Catálogo Categoria (Sem-Vínculo)"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Catalog Category Link","Link do Catálogo de Categoria"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"Catalog Price Scope","Escopo de Preços do Catálogo"
"Catalog Product Compare List","Lista de Comparação de Produtos do Catálogo"
"Catalog Product Email to a Friend","Avisar um Amigo no Catálogo de Produtos"
"Catalog Product Image Gallery Popup","Popup de Imagens no Catálogo de Produtos"
"Catalog Product Link","Link do Catálogo do Produto"
"Catalog Product View (Any)","Visutalizar Catálogo Produto (Todos)"
"Catalog Product View (Configurable)","Visualizar Catálogo Produto (Configurável)"
"Catalog Product View (Grouped)","Visualizar Catálogo Produto (Agrupado)"
"Catalog Product View (Simple)","Visualizar Catálogo Produto (Simples)"
"Catalog Product View (Virtual)","Visualizar Catálogo Produto (Virtual)"
"Catalog Section","Seção Catálogo"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Sitemap (Lista de Categorias)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Sitemap (Árvore de Categorias)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Sitemap (Normal)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Sitemap (Lista de Produtos)"
"Catalog URL Rewrites","Catálogo Reescrita de Url"
"Catalog product custom option values API","API Catálogo de produtos com opções de valores personalizados"
"Catalog product custom options API","API Catálogo de produtos com opções personalizadas"
"Catalog, Search","Catálogo, Busca"
"Categories","Categorias"
"Categories Sitemap","Sitemap de Categorias"
"Category","Categoria"
"Category API","API de Categoria"
"Category Data","Dados da Categoria"
"Category Flat Data","Categoria Unificada"
"Category Link Block Template","Template p/ Bloco de Links de Categoria"
"Category Link Inline Template","Template p/ Inline de Links de Categoria"
"Category Products","Produtos da Categoria"
"Category Top Navigation","Categoria Navegação Superior"
"Category URL Suffix","Categoria Sufixo URL"
"Category attributes API","API Atributos da categoria"
"Category move error","Erro ao mover categoria"
"Category move error %s","Erro ao mover categoria %s"
"Category move operation is not possible: the new parent category was not found.","Não foi possível mover a categoria: local de destino para categoria não foi encontrado."
"Category move operation is not possible: the current category was not found.","Não foi possível mover a categoria: categoria atual não foi encontrada."
"Category move operation is not possible: the new parent category was not found.","Não foi possível mover a categoria: categoria superior não foi encontrada."
"Category must be an instance of Mage_Catalog_Model_Category.","Categoria precisa ser uma instância de Mage_Catalog_Model_Category."
"Center","Centro"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou Recuperar atributos da visão"
"Change status","Alterar status"
"Check items to add to the cart or","Escolha os produtos que deseja adicionar ao carrinho ou "
"Choose an Option...","Selecione..."
"Clear All","Limpar Tudo"
"Clear Price","Limpar Preços"
"Click for price","Veja o preço"
"Close Window","Fechar Janela"
"Collapse All","Recolher"
"Comma-separated.","Separado por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Pode ser Comparado"
"Comparable on the Frontend","Comparável no Frontend"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Configuração de Produtos Configuráveis"
"Configure Product","Produto Configurável"
"Continue","Avançar"
"Copy From Configurable","Copiar de Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (Upload)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar Redirecionamento Permanente p/ URL caso a URL Chave seja alterada"
"Create Permanent Redirect for URL","Criar Redirecionamento Permanente p/ URL"
"Create Product Settings","Configurações de Criação do Produto"
"Create Simple Associated Product","Criar Produto de Simples Associação"
"Create attribute set based on another set","Criar grupo de atributo com base em outro grupo"
"Create new attribute","Criar atributo"
"Create new category","Criar Categoria"
"Create new product","Criar Produto"
"Cross-sells","Venda Cruzada"
"Currently Shopping by:","Atualmente Comprando de:"
"Custom Design","Visual Personalizado"
"Custom Options","Opções Personalizadas"
"Custom options","Opções personalizadas"
"Customer Group","Grupo Cliente"
"Customers Reviews","Comentários Clientes"
"Customers Tagged Product","Tags Clientes"
"Data Type for Saving in Database","Tipo de Dados para Salvar no Banco de Dados"
"Date & Time Custom Options","Opções Personalizadas de Data & Hora"
"Date Fields Order","Ordem dos Campos de Data"
"Date Subscribed","Data da Assinatura"
"Datetime","Data e Hora"
"Decimal","Decimal"
"Declare attribute value saving scope","Informe o ambiente em que o atributo ficará disponível"
"Default ""What's This"" Text Message","Padrão ""O que é isso"" Mensagem de Texto"
"Default Popup Text Message","Mensagem de Texto Padrão Popup"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Preço Padrão Etapa Navegação"
"Default Qty","Quantidade Padrão"
"Default Values","Valores Padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definir o escopo da moeda base (""Configuração de Moeda"" > ""Opção de Moeda"" > ""Moeda Base"")."
"Delete","Excluir"
"Delete Attribute","Excluir Atributo"
"Delete Attribute Set","Excluir Grupo de Atributo"
"Delete Category","Excluir"
"Delete Group Price","Excluir Grupo de Preço"
"Delete Option","Excluir Opção"
"Delete Row","Excluir Linha"
"Delete Search","Excluir Busca"
"Delete Selected Group","Excluir Grupo Selecionado"
"Delete Tier","Excluir Faixa"
"Delete attribute","Excluir atributo"
"Delete category","Excluir categoria"
"Delete product","Excluir produto"
"Depends on design theme","Depende do seu tema"
"Description","Descrição"
"Design","Visual"
"Details","Detalhes"
"Disabled","Desabilitado"
"Disallowed file type.","Tipo de arquivo não permitido."
"Display Actual Price","Exibir Preço Atual"
"Display Page Control","Exibir Página de Controle"
"Display Price Interval as One Price","Exibir Intervalo de Preço como Preço Único"
"Display Product Count","Exibir Quantidade de Produtos"
"Display Type","Tipo de Exibição"
"Display in Suggested Terms","Exibir em Termos Sugeridos"
"Display Settings","Opções de Exibição"
"Double click on a group to rename it","Duplo clique no grupo para renomear"
"Double click on above image to view full picture","Duplo clique para aumentar imagem"
"Downloadable Information","Informações de Download"
"Duplicate","Duplicar"
"Duplicate website group price customer group.","Duplicar website grupo de preço e grupo de cliente."
"Duplicate website tier price customer group and quantity.","Duplicar website faixa de preço, grupo de cliente, e quantidade."
"Duplicate website, country and state tax found.","Duplicar website, país, estado, e impostos encontrados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Analisar impacto de diretivas dinâmicas no desempenho do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Grupo de Atributos '%s'"
"Edit Product Attribute","Editar Atributo"
"Edit Product Attribute ""%s""","Editar Atributo ""%s"""
"Edit Search","Editar Busca"
"Edit Search '%s'","Editar Busca '%s'"
"Edit Set Name","Editar Nome do Grupo"
"Email","Email"
"Email to a Friend","Avisar um Amigo"
"Empty","Vazio"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar Quantidade Incrementos"
"Enable WYSIWYG","Permitir WYSIWYG"
"Enable for reindexing a big number of SKUs.","Habilitar reindexação para um grande número de SKUs."
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Erro ao recuperar valor da opção: %s"
"Exclude","Retirar"
"Expand All","Expandir"
"Failed","Falhou"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar arquivo %s. Apague a mídia com as imagens que não existem e tente novamente."
"Failed to move file: %s","Falha ao mover arquivo: %s"
"Feature Products","Produtos em Destaque"
"Field is not complete","Campo não está completo"
"File options format is not valid.","Formato das opções de arquivo não é válido."
"File upload failed","Falha ao enviar arquivo"
"Filter","Filtro"
"Filter model name must be declared.","Nome do modelo de filtro precisa ser declarado."
"Filter must be an object. Please set correct filter.","Filtro precisa ser um objeto. Marque o filtro corretamente."
"Filterable (no results)","Filtrar (mesmo sem resultados)"
"Filterable (with results)","Filtrar (apenas com resultados)"
"First Name","Nome"
"Fixed","Fixado"
"For internal use.","Para uso interno."
"For the last time placed.","Adicionado pela última vez."
"Frontend","Frontend"
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propriedades Frontend"
"Gallery","Galeria"
"General Information","Informações Gerais"
"Get full information about attribute with list of options","Recuperar toda informação sobre o atributo com lista de opções"
"Get full information about custom option in product","Recuperar toda informação sobre opção personalizada do produto"
"Get list of available custom option types","Recuperar lista de tipos de opção personalizadas disponíveis"
"Get list of non-default attributes by product type and attributes set","Recuperar lista de atributos não-padrão por tipo de produto e grupo de atributos"
"Get list of possible attribute types","Recuperar lista de possíveis tipos de atributos"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir p/ Página Inicial"
"Grid","Tabela"
"Group add","Adicionar grupo"
"Group remove","Excluir grupo"
"Grouped Product","Produto Agrupado"
"Groups","Grupos"
"Home","Início"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vazio, o nome da Categoria será usado"
"If empty, the Product Name will be used","Se vazio, o nome do Produto será usado"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não informar um valor para as opções disponíveis então o valor padrão (Admin) será usado."
"Image","Imagem"
"Image content is not valid base64 data.","Imagem não contem dados base64 válidos."
"Image does not exist.","Imagem não existe."
"Image file was not found.","Arquivo de imagem não encontrado."
"Image type and information need to be specified for each store view.","O tipo de imagem e informação precisam ser informadas para cada visão."
"In Cart","No Carrinho"
"In Stock","Em Estoque"
"In stock","Em estoque"
"Incl. Tax","Incl. Imposto"
"Index product and categories URL rewrites","Indexar reescrita de URL p/ produtos e categorias"
"Index product attributes for layered navigation building","Indexar atributos do produto p/ navegação em camadas"
"Index product prices","Indexar preços do produto"
"Indexed category/products association","Associação entre categorias e produtos indexados"
"Info","Info"
"Info Column Options Wrapper","Info Pacote de Opções da Coluna"
"Input Type","Tipo de Campo"
"Integer","Inteiro"
"Interval Division Limit","Limite Divisão Intervalo"
"Invalid Tier Prices","Faixa de Preços Inválida"
"Invalid attribute %s","Atributo Inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido para o atributo selecionado %s (%s), ignorando registro."
"Invalid attribute set specified, skipping the record.","Atributo selecionado inválido, ignorando registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","IDs de categoria inválida."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo do arquivo de imagem inválida."
"Invalid image type.","Tipo de imagem inválida."
"Invalid option ID specified for %s (%s), skipping the record.","Opção de id selecionada inválida para %s (%s), ignorando registro."
"Invalid product type specified, skipping the record.","Tipo de produto selecionado inválido, ignorando registro."
"Invalid store specified","Loja selecionada inválida"
"Invalid store specified, skipping the record.","Loja selecionada inválida, ignorando registro."
"Invalid tier prices. The product is not associated to the requested website.","Faixa de preços inválida. Produto não está associado ao website informado."
"Inventory","Estoque"
"Is Default","Padrão"
"Is Required","Obrigatório"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produtos que você não deseja exibir no catálogo ou nos resultados de busca precisam ter o status 'Desabilitado' nas opções da loja."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produtos que você não quer exibir no catálogo ou nos resultados de busca precisam ter o status 'Desabilitado' nas opções da loja."
"Keep your eyes open for our special Back to School items and save A LOT!","Fique de olhos abertos nas promoções de volta as aulas e economize MUITO!"
"Label","Descrição"
"Last Name","Sobrenome"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Detalhes"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Relacionado, Venda Agregada, Venda Cruzada)"
"Link product does not exist.","Link do produto não existe."
"Link to a Specified Category","Link p/ Categoria Informada"
"Link to a Specified Product","Link p/ Produto Informado"
"List","Lista"
"List Mode","Forma de Exibir os Produtos"
"List of Products that are set as New","Lista de Produtos que você marcou como Novo"
"List of types","Lista de tipos"
"Manage Attribute Sets","Gerenciar Grupo de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Descrição/Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Manage Product Attributes","Gerenciar Atributos do Produto"
"Manage Product Sets","Gerenciar Grupos de Produto"
"Manage Products","Gerenciar Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Descrição (Tamanho, Cor, etc.)"
"Max Characters","Máx. Caracteres"
"Maximal Depth","Profundidade Máxima"
"Maximum Image Size","Tamanho Máximo da Imagem"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho"
"Maximum allowed image size for '%s' is %sx%s px.","Tamanho máximo permitido p/ imagem de '%s' é %sx%s px."
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Número máximo de intervalos de preço é 100"
"Maximum width base product image will be scaled down to in pixels","A largura máxima da imagem base será alterada para pixels"
"Maximum width small product image will be scaled down to in pixels","A largura máxima da imagem reduzida será alterada para pixels"
"Media Image","Mídia de Imagem"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines per Page","Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtd Mínima p/ Indicar que o Produto está Esgotado"
"Missing SKU, skipping the record.","Faltando SKU, ignorar registro."
"More Views","Mais Imagens"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Precisa estar na lista de valores permitidos."
"My Account","Minha Conta"
"N/A","N/A"
"Name","Nome"
"Name in %s","Nome Em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Template Tabela de Novos Produtos"
"New Products List Template","Template Lista de Novos Produtos"
"New Root Category","Nova Categoria Principal"
"New Search","Nova Pesquisa"
"New Set Name","Novo Nome Grupo"
"New Subcategory","Nova SubCategoria"
"New products","Novos Produtos"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Sem atualizações de leiaute"
"No options of this product are available.","Nenhuma opção está disponível para este produto."
"No product collections found.","Nenhuma coleção de produtos encontrada."
"None","Nenhum"
"Not Visible Individually","Não Exibir Individualmente"
"Notify Low Stock RSS","RSS Notificar Baixo Estoque"
"Notify for Quantity Below","Avisar sobre Quantidade Baixa"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos p/ Exibir"
